Section,Item,Count/Value,Description,Key Finding
"OVERVIEW","Total Pages Analyzed",74,"All .jsx pages and data-connected components in src/","Includes 59 data-driven pages + 15 settings/auth/static pages"
"OVERVIEW","Data-Driven Pages",59,"Pages that consume either Tally or Google Sheets data","Remaining 15 are settings, auth, or static pages"
"OVERVIEW","Complete Tally Pages",7,"Pages using ONLY Tally data with no Google Sheets fallback","Branded as LIVE TALLY - show empty state if Tally unreachable"
"OVERVIEW","Partial Tally Pages",29,"Pages with Tally priority but fall back to Google Sheets for missing columns","Tally covers 30-70% of needed columns; rest from Google Sheets"
"OVERVIEW","No Tally Pages",23,"Pages that have ZERO Tally integration - rely entirely on Google Sheets","5 voucher types, 4 reports, 3 masters, analytics, settings fully on Google Sheets"
"OVERVIEW","No Data Pages",15,"Settings, auth, login, company selection, static pages","Do not consume business data from either source"
"TALLY TEMPLATES","Total Tally Templates Used",36,"Unique template IDs across all 36 backend Tally routes","Templates range from 1-62; some endpoints share templates"
"TALLY TEMPLATES","Templates with Raw Passthrough",7,"Templates 2,3,4,17,32,34,35 returned as-is without column mapping","No transformation applied; frontend consumes raw Tally column names"
"TALLY TEMPLATES","Templates with Adapter Mapping",11,"Templates 1,5,10,11,13,14,23,27,30,37,38 mapped via adapters","Dashboard/CashBank/Outstanding adapters reshape Tally data"
"TALLY TEMPLATES","Templates Mapped in Routes",18,"Templates mapped inline in tallyRoutes.js (not via adapter files)","One-off mappings specific to each endpoint"
"GOOGLE SHEETS","Total Google Sheets (CSV)",21,"Sheets in the published Google Sheets CSV document","Companies sheet exists only in live Google Sheets (not seed_data)"
"GOOGLE SHEETS","Seed Data CSV Files",20,"CSV files in seed_data_output/ directory","Missing only Companies.csv from the full 21-sheet set"
"GOOGLE SHEETS","Template-Only Sheets (not in seed data)",3,"Expenses, PendingPurchaseOrders, PendingSalesOrders","These are schema templates only - no actual data or endpoints"
"DATA SOURCE PATTERN","Tally-as-Priority Pattern",29,"if (tallyData && tallyData.length > 0) use Tally else use Google Sheets","Dominant hybrid pattern across Vouchers, Reports, and Masters"
"DATA SOURCE PATTERN","Tally-Only Pattern",7,"No fallback - if Tally returns nothing, show empty/no-data state","Used for newer/advanced reports (GST Recon, Reimburse Audit, etc.)"
"DATA SOURCE PATTERN","Google-Sheets-Only Pattern",23,"No Tally hooks imported at all - 100% Google Sheets dependent","Includes most voucher sub-types and analytics pages"
"CRITICAL GAPS","Pages with Most Missing Tally Columns","Dashboard, BalanceSheet, CustomerView, StockStatusReport, GeographicReport","These pages need 10+ additional columns from Google Sheets to be complete"
"CRITICAL GAPS","Voucher Pages Missing Tax/GST Data","SalesVouchers, PurchaseVouchers, JournalVouchers, CreditNote, DebitNote","Tally vouchers lack taxAmount, subTotal, HSN breakup, narration"
"CRITICAL GAPS","Master Pages Missing Detail Fields","Parties, Items, Ledgers, Accounts","Tally masters lack IDs, credit limits, MRP, reorder levels, PAN, etc."
"CRITICAL GAPS","Reports Without Any Tally Support",4,"TopBrands, TopReport, ByLedger, LedgerReport","These reports compute from Google Sheets only; no Tally template exists"
"RECOMMENDATION","Priority 1: Add Tally to No-Tally Pages",11,"ItemWiseSales, PartyWiseSales, ReceiptNote, DeliveryNote, Contra, TopBrands, TopReport, ByLedger, LedgerReport, LedgerDetail, Groups","These are the most-used pages still 100% dependent on Google Sheets"
"RECOMMENDATION","Priority 2: Fill Missing Tally Columns",12,"Dashboard, BalanceSheet, ProfitLoss, DayBook, ExpensesReport, StockAging, StockStatusReport, GeographicReport, CustomerMovementReport, CustomerView, Parties, Items","These pages have Tally but are missing critical fields"
"RECOMMENDATION","Priority 3: Create New Tally Templates",4,"GST/HSN tax breakup for vouchers, Party PAN/credit details, Item MRP/reorder levels, Bank account details (IFSC/accountNo)","New templates needed to fill the biggest data gaps"
