Workflow Name,Query
01 - Tally Company Sync,"Get all active companies configured in Tally. For each company: company name, registered address, GSTIN, financial year start date, currency symbol (INR), contact person, phone, email, tin number, vat number, cst number. Filters: active companies only. Raw listing; no calculation. POST-SYNC: Write completion timestamp to SyncLog (WorkflowID='01-Company', Status='success', RecordsSynced=count)."
02 - Tally Ledger Sync,"Get all ledger accounts with their group classification and opening balances. For each ledger: ledger name, parent group name, group type (Asset/Liability/Income/Expense), opening balance inr, is-system-ledger flag, nature of group, under group name. Filters: all ledgers for selected company, current financial year. Raw listing; no calculation. POST-SYNC: Write completion timestamp to SyncLog."
03 - Tally Party Sync,"Get all parties (customers and suppliers) with contact details and credit terms. For each party: party name, party type (Sundry Debtor/Sundry Creditor), parent group name, contact person, phone number, email, full address, city (parsed from address field or separate Tally field), state (derived from GSTIN first 2 digits mapped to state name), pincode (parsed from address), GSTIN, PAN, opening balance inr, credit limit inr, credit days, income tax number. Filters: ledgers under Sundry Debtors and Sundry Creditors groups. Raw listing; no calculation. POST-SYNC: Write completion timestamp to SyncLog."
04 - Tally Cash/Bank Sync,"Get all cash-in-hand and bank account ledgers with current balances. For each account: ledger name, group name (Cash-in-Hand/Bank Accounts/Bank OD), current balance inr, bank account number, bank name, branch name, IFSC code, account type (Savings/Current/OD), last transaction date. Filters: ledgers under Cash-in-Hand, Bank Accounts, Bank OD groups. Raw listing; no calculation. POST-SYNC: Write completion timestamp to SyncLog."
05 - Tally Sales Voucher Sync,"Get all sales vouchers with line item details. For each voucher header: voucher number, voucher date, voucher type (Sales/Sales Order), party name, party ID (mapped from Parties sheet), reference number, narration, gross total inr, total gst inr, round off inr, net amount inr, is-cancelled flag, sales person (from Cost Center or custom field if available in Tally, else null). For each line item: item ID (mapped from Items sheet), item name, stock item name, quantity, unit, rate per unit, amount inr, gst rate percent, gst amount inr, ledger name, debit amount, credit amount, sort order. Filters: VoucherType = Sales, date range (parameterized, default current financial year). Raw listing; no aggregation. POST-SYNC: Write completion timestamp to SyncLog."
06 - Tally Purchase Voucher Sync,"Get all purchase vouchers with line item details. For each voucher header: voucher number, voucher date, voucher type (Purchase/Purchase Order), party name, party ID (mapped from Parties sheet), reference number, narration, gross total inr, total gst inr, round off inr, net amount inr, is-cancelled flag. For each line item: item ID (mapped from Items sheet), item name, stock item name, quantity, unit, rate per unit, amount inr, gst rate percent, gst amount inr, ledger name, debit amount, credit amount, sort order. Filters: VoucherType = Purchase, date range (parameterized). Raw listing; no aggregation. POST-SYNC: Write completion timestamp to SyncLog."
07 - Tally Receipt/Payment Sync,"Get all receipt and payment vouchers. For each voucher header: voucher number, voucher date, voucher type (Receipt/Payment), party name, party ID (mapped from Parties sheet), reference number, narration, total amount inr, is-cancelled flag. For each line item: ledger name, ledger ID, debit amount inr, credit amount inr, sort order. Filters: VoucherType in (Receipt, Payment), date range (parameterized). Raw listing; no aggregation. POST-SYNC: Write completion timestamp to SyncLog."
08 - Tally Adjustment Voucher Sync,"Get all journal, debit note, and credit note vouchers with ledger entries. For each voucher header: voucher number, voucher date, voucher type (Journal/Debit Note/Credit Note), party name (if applicable), party ID (if applicable), reference number, narration, total amount inr, is-cancelled flag. For each line item: ledger name, ledger ID, debit amount inr, credit amount inr, narration, sort order. Filters: VoucherType in (Journal, Debit Note, Credit Note), date range (parameterized). Raw listing; no aggregation. POST-SYNC: Write completion timestamp to SyncLog."
09 - Tally Inventory Sync,"Get all stock items with stock groups and current stock position. For each stock group: group name, parent group name. For each stock item: item name, stock group name, category name, brand (from Tally stock item master if field exists, else derived from category prefix or null), HSN code, unit of measure, alternate unit, conversion factor, gst rate percent, sale rate inr, purchase rate inr, opening stock quantity, opening stock value inr, current stock quantity, current stock value inr, minimum order quantity, reorder level, standard cost, is-active flag. Filters: all stock items for selected company. Raw listing; no calculation beyond current stock position. POST-SYNC: Write completion timestamp to SyncLog. CRITICAL ISSUE: Workflow writes 17 columns but Items.csv has 22 columns (Brand, SubCategory, GroupID added manually). OVERWRITE mode will WIPE these columns on next daily sync at 02:00. FIX: Add Brand/SubCategory/GroupID to workflow transform code OR switch to UPSERT mode."
10 - Tally Outstanding Sync,"Get receivables and payables aging reports. For each receivable entry: party name, party ID (mapped), bill reference, bill date, due date, bill amount inr, pending amount inr, days overdue (computed: today minus due date, 0 if not due), aging bucket (computed: 'Not Due' if days overdue <=0, '0-30' if 1-30, '31-60' if 31-60, '61-90' if 61-90, '180+' if >90). For each payable entry: same fields. Filters: all outstanding bills, as-of date (parameterized, default today). Include computed days overdue and aging bucket fields. POST-SYNC: Write completion timestamp to SyncLog."
11 - Tally Dashboard Refresh,"Get dashboard summary metrics. For each metric: metric name (Cash in Hand, Bank Balance, Total Sales, Total Purchases, Receivables, Payables, Stock Value, GST Liability), current period value inr, previous period value inr, trend percent (computed: current minus previous divided by previous, null if previous is 0), trend direction (computed: 'up' if positive, 'down' if negative, 'flat' if zero or null). Filters: date range (parameterized, default current financial year to date), comparison period (parameterized, default previous equal-length period). Include computed trend fields. POST-SYNC: Write completion timestamp to SyncLog."
12 - Tally Reconciliation Sync,"Get trial balance and bank statement data. For trial balance: ledger name, ledger ID, opening debit inr, opening credit inr, current period debit inr, current period credit inr, closing debit inr, closing credit inr. For bank statement: bank account name, bank ledger ID, transaction date, narration, reference number, debit amount inr, credit amount inr, running balance inr (computed: cumulative sum ordered by date). Filters: all ledgers for trial balance, date range (parameterized) for bank statement. Include computed running balance for bank statement. POST-SYNC: Write completion timestamp to SyncLog."
13 - Tally Stock Batch Sync,"Get batch-wise stock details for items with batch tracking enabled. For each batch: batch ID (Tally batch reference), item ID (mapped from Items sheet), item name, stock group name, godown/location, inward date, expiry date (if applicable), quantity received, quantity remaining, batch status (Active/Expired/Exhausted), unit cost inr, total value inr. Filters: all batches for selected company, items with batch tracking enabled. Raw listing. Note: Only runs if Tally batch tracking is confirmed enabled. POST-SYNC: Write completion timestamp to SyncLog. STATUS: NOT IMPLEMENTED - No workflow exists. Sheet populated once by generate_seed_data.py and going stale. REQUIRED: New workflow needed."
