Tally Reports You Can Ask For,,,,,,
"Every ready-made report available today, written in plain language. Use the filter arrows on row 4 to jump to a category. 'Template No.' is the internal reference number - quote it when reporting an issue.",,,,,,
Total reports available:,62,,,,,
Category,Template No.,Report Name (in plain English),What it tells you,What you'll get,What you need to provide,Original template question
Customers & Receivables,1,Total money customers owe me,The single number for how much is still to be collected from all customers put together.,Total outstanding amount receivable.,Nothing - runs as is,What are the customer receivables(outstanding_amount)?
Customers & Receivables,2,Customer-wise unpaid bills with due dates,"Which customer has which bill pending, when it was due, and how late it is.","Customer name, bill number, amount, due date, number of days overdue.",Nothing - runs as is,Customers wise outstanding bills with due date and overdue days?
Customers & Receivables,3,Customer ageing (0-30 / 31-60 / 61-90 / 90+ days),"How old your pending collections are, bucketed by age, so you know what has been stuck the longest.",Customer name with amounts split into ageing buckets and a total.,Nothing - runs as is,Show customer aging analysis.
Customers & Receivables,4,Receivables with risk level and due status,"The same pending list, but each customer is flagged as low/medium/high risk and due or overdue.","Customer name, outstanding amount, risk level, due status.",Nothing - runs as is,Show customer receivables with risk level and due status
Customers & Receivables,32,Full ageing report for every party with dues,A detailed ageing statement covering each and every outstanding party - the deep version of the ageing summary.,Party-wise bills with ageing buckets and totals.,Nothing - runs as is,Get full receivables aging report For each outstanding party
Customers & Receivables,37,All unpaid bills with due date and days overdue,A straight list of every outstanding bill and how many days it is past due.,"Bill number, party, amount, due date, overdue days.",Nothing - runs as is,Show outstanding bills with due date and overdue days.
Customers & Receivables,41,How much do my customers owe me? (simple version),"The everyday, conversational way of asking for pending collections.",Customer-wise pending amount.,Nothing - runs as is,how much my customer owe to me
Vendors & Payables,5,Total money I owe to vendors,The single number for how much is still to be paid to all suppliers put together.,Total outstanding amount payable.,Nothing - runs as is,What are the vendor Payable(outstanding_amount)?
Vendors & Payables,7,Vendor dues with full invoice details,"Which supplier bill is pending, for how much, and against which invoice.","Vendor name, invoice number, invoice date, amount, balance due.",Nothing - runs as is,Show vendor Payable with invoice details
Vendors & Payables,34,Pending bills of MSME / Udyam-registered vendors,Bills owed to small and micro suppliers - the ones with legal payment deadlines under MSME rules.,"Vendor name, phone, Udyam registration, Micro/Small type, bill number, bill date, amount, days since bill date.",Nothing - runs as is,"Get all outstanding payable bills for vendors flagged as MSME / Micro / Small / Udyam-registered. For each: vendor name, vendor phone, udyam registration, vendor type (Micro/Small), bill no, bill date, amount inr, days since bill date."
Vendors & Payables,35,Pending bills where paying early gets a discount,Which supplier bills carry early-payment terms (like 2/10 net 30) and by when you must pay to grab the discount.,"Vendor name, MSME flag, bill amount, due date, days to due, discount terms, discount %, discount deadline.",Nothing - runs as is,"Get all outstanding payable bills with: vendor_name, vendor_msme_flag, bill_amount, due_date, days_to_due, discount_terms (e.g. '2/10 net 30'), early_payment_discount_pct, early_payment_discount_deadline."
Vendors & Payables,42,How much do I owe my vendors? (simple version),"The everyday, conversational way of asking for pending payments.",Vendor-wise pending amount.,Nothing - runs as is,How much i owe to my vendors
Sales,10,Today vs same day last week,A quick pulse check on whether today's business is better or worse than last week.,"Today's sales, last week's sales, and the percentage difference.",Nothing - runs as is,"Provide today vs last week comparison [today_sales, last_week_sales and difference_percent]"
