Page Name,Page Path,Google Sheets Hook,Google Sheets Data Sources,All Google Sheets Columns Used,Closest Tally Template (if exists),Migration Feasibility,Why No Tally Integration
"ItemWiseSales","src/pages/Vouchers/ItemWiseSales.jsx","useGoogleSheetsData","vouchers, voucherLines, items","ItemID, ItemName, Qty, Rate, Amount, VoucherDate, VoucherNo, VoucherType, Unit, SaleRate, GST, Brand","Template 60 (by-item-rollup) - provides itemName, qtySold, salesValue","Medium - Needs new template for item-level voucher detail","No Tally hook imported. Template 60 exists but only provides rollup not per-voucher item detail."
"PartyWiseSales","src/pages/Vouchers/PartyWiseSales.jsx","useGoogleSheetsData","vouchers","PartyID, PartyName, GrandTotal, VoucherDate, VoucherType, VoucherNo, Status","Template 18/23 (sales vouchers) - provides voucherNo, date, party, amount","Medium - Could reuse sales voucher templates with aggregation","No Tally hook imported. Sales voucher templates exist but used only in SalesVouchers page."
"ReceiptNoteVouchers","src/pages/Vouchers/ReceiptNoteVouchers.jsx","useGoogleSheetsData","vouchers","VoucherNo, VoucherDate, PartyID, PartyName, GrandTotal, Narration, Status, VoucherType","Template 53 (receipt-payment vouchers) - provides date, voucherNo, type, party, amount","Medium - Template 53 could be filtered for Receipt Note type","No Tally hook imported. Template 53 exists but is not filtered for Receipt Note type."
"DeliveryNoteVouchers","src/pages/Vouchers/DeliveryNoteVouchers.jsx","useGoogleSheetsData","vouchers","VoucherNo, VoucherDate, PartyID, PartyName, GrandTotal, Narration, Status, VoucherType","None directly - No delivery note template","Hard - Needs new Tally template for delivery notes","No Tally template exists for delivery notes. Would require creating new template."
"ContraVouchers","src/pages/Vouchers/ContraVouchers.jsx","useGoogleSheetsData","vouchers","VoucherNo, VoucherDate, GrandTotal, Narration, Status, VoucherType","None directly - No contra voucher template","Hard - Needs new Tally template for contra entries","No Tally template for contra vouchers (bank-to-cash transfers). Would need new template."
"TopBrands","src/pages/Reports/TopBrands.jsx","useGoogleSheetsData","items, vouchers, voucherLines, itemStockStatus","Brand, ItemID, ItemName, SaleRate, CurrentStock, SalesVelocity30d, Qty, Amount, VoucherDate","None - No brand-level template","Hard - Complex aggregation from multiple sources","Requires brand-level aggregation across items, sales, and stock. No single Tally template covers this."
"TopReport","src/pages/Reports/TopReport.jsx","useGoogleSheetsData","parties, vouchers","PartyName, GrandTotal, VoucherType, VoucherDate, PartyID, PartyType","None - No top-performers template","Medium - Could aggregate from parties/vouchers templates","General top-performers report. Could be built from existing templates with aggregation."
"ByLedger","src/pages/Reports/ByLedger.jsx","useGoogleSheetsData","ledgers, vouchers, voucherLines, groups","LedgerName, GroupName, Amount, VoucherDate, VoucherType, VoucherNo, LedgerID, GroupID, LedgerDebit, LedgerCredit","Template 48 (ledgers) + Template 62 (trial balance)","Medium - Existing templates provide ledger and balance data","Trial balance and ledgers templates exist but are not combined for this report view."
"LedgerReport","src/pages/Reports/LedgerReport.jsx","useGoogleSheetsData","ledgers, vouchers","LedgerName, OpeningBalance, ClosingBalance, GrandTotal, VoucherDate, VoucherType, LedgerID, GroupID","Template 48 (ledgers) - provides name, group, type, balance","Easy - Template 48 matches well but needs voucher join","Ledger template 48 exists and provides good data. Just needs integration with this page."
"LedgerDetail","src/pages/Masters/LedgerDetail.jsx","useGoogleSheetsData","ledgers, groups, voucherLines, vouchers, bankAccounts, cashAccounts","LedgerName, GroupName, OpeningBalance, ClosingBalance, Debit, Credit, AccountNumber, BankName, IFSC, BranchName, IsActive","Template 48 (ledgers) + Template 50 (accounts)","Medium - Needs two templates merged","Ledger detail needs ledger metadata + bank/cash account detail. Two separate templates exist but are not combined."
"Groups","src/pages/Masters/Groups.jsx","useGoogleSheetsData","groups","GroupName, ParentGroup, GroupType, Nature, GroupID, CompanyID","None - No group master template","Medium - Needs new Tally template for group hierarchy","No Tally template for group master. Ledger template 48 includes group_name but not full hierarchy."
"Categories","src/pages/Masters/Categories.jsx","useGoogleSheetsData","itemCategories, itemGroups, items","CategoryName, GroupName, ItemName, OpeningStock, SaleRate, CategoryID, GroupID","None - No category template","Hard - Needs new template for item categorization","No Tally template for item categories. Item template 55 provides group but not category hierarchy."
"ItemsPage","src/pages/ItemsPage.jsx","useGoogleSheetsData","items, itemStockStatus","ItemName, Brand, SaleRate, CurrentStock, SalesVelocity30d, IsUnderstock, IsOverstock, IsPopular, DaysOfStock, Unit, GST, ItemID","Template 55 (items) + Template 9 (stock status)","Easy - Both templates exist and cover core data","Items template 55 and stock status template 9 exist. Just need to be combined in this page."
"Settings","src/pages/Settings.jsx","useGoogleSheetsData","vouchers, parties, items, ledgers","Various - validation counts and configuration data","None - No settings template","N/A - Settings are configuration not business data","Settings page validates data integrity. Not a business data page."
"ReportPage","src/pages/ReportPage.jsx","useGoogleSheetsData","vouchers, parties","GrandTotal, VoucherType, PartyName, VoucherDate","None - Generic report page","Medium - Depends on which report is rendered","Generic report container. Could integrate Tally if specific reports within it support Tally."
"SyncLogPage","src/pages/Reports/SyncLogPage.jsx","useGoogleSheetsData","syncLog","WorkflowName, Status, StartTime, EndTime, RecordsProcessed, ErrorMessage, DurationSeconds","None - Operational log not business data","N/A - Sync log is operational metadata","Sync log tracks workflow execution. Not business data - no Tally equivalent."
"StockBatchesPage","src/pages/analytics/StockBatchesPage.jsx","useGoogleSheetsData","stockBatches","BatchNo, Quantity, InwardDate, MfgDate, ExpDate, Rate, Value, AgeingDays, AgeingBucket, Location, BatchID, ItemID","Template 22 (stock batches) - raw batch data","Easy - Template 22 directly matches","Stock batches template 22 exists and provides batch data. Just needs integration with analytics page."
"ItemStockStatusPage","src/pages/analytics/ItemStockStatusPage.jsx","useGoogleSheetsData","itemStockStatus","ItemName, CurrentStock, SalesVelocity30d, IsUnderstock, IsOverstock, IsPopular, DaysOfStock, ReorderLevel, StockValue, LastSaleDate, LastPurchaseDate, StatusID","Template 9 (stock status) - provides name, quantity, locations","Medium - Template 9 covers stock but lacks analytics flags","Stock status template covers quantities. Missing velocity, under/overstock flags, days of stock calculations."
"GeographicSummaryPage","src/pages/analytics/GeographicSummaryPage.jsx","useGoogleSheetsData","geographicSummary","State, City, PartyCount, TotalSalesValue, TotalPurchaseValue, TotalOutstanding, TopCustomers, TopItems, PeriodStart, PeriodEnd, GeoID","Template 61 (geographic rollup) - provides partyName, status, daysSinceLastTxn, salesValue, txnCount","Medium - Template 61 provides customer movement not full geographic summary","Geographic template 61 exists but focuses on customer movement. Full geographic aggregation needs different approach."
"CustomerMovementPage","src/pages/analytics/CustomerMovementPage.jsx","useGoogleSheetsData","customerMovement","PartyName, PartyType, LastTransactionDate, TotalSalesValue, TotalPurchaseValue, TransactionCount, DaysSinceLastTxn, Status, SalesPerson, City, State, MovementID","Template 59 (customer movement rollup) - provides partyName, status, daysSinceLastTxn, salesValue, txnCount","Easy - Template 59 directly matches","Customer movement template 59 exists and directly matches this analytics page. Easiest to integrate."
"OutstandingGroupView","src/components/outstanding/OutstandingGroupView.jsx","useGoogleSheetsData","outstandingReceivables, outstandingPayables, parties, ledgers","PartyName, TotalOutstanding, Aging buckets, PartyType, City, CreditDays, OpeningBalance","Templates 2,3,4,7,32,34,35,37,41,42 (outstanding templates)","Easy - Outstanding templates already used in Outstanding.jsx","Outstanding templates already integrated in main Outstanding page. This component could reuse same hooks."
